Row Number	State	DPD	Count
1	ANDAMAN & NICOBAR ISLANDS	4	1
2	ANDAMAN & NICOBAR ISLANDS	7	1
3	ANDAMAN & NICOBAR ISLANDS	39	1
4	ANDAMAN & NICOBAR ISLANDS	42	1
5	ANDAMAN & NICOBAR ISLANDS	68	1
6	ANDAMAN & NICOBAR ISLANDS	76	1
7	ANDAMAN & NICOBAR ISLANDS	81	1
8	ANDHRA PRADESH	2	1
9	ANDHRA PRADESH	3	2
10	ANDHRA PRADESH	5	1
11	ANDHRA PRADESH	6	1
12	ANDHRA PRADESH	7	2
13	ANDHRA PRADESH	9	2
14	ANDHRA PRADESH	11	2
15	ANDHRA PRADESH	12	1
16	ANDHRA PRADESH	13	1
17	ANDHRA PRADESH	17	1
18	ANDHRA PRADESH	18	1
19	ANDHRA PRADESH	21	2
20	ANDHRA PRADESH	24	1
21	ANDHRA PRADESH	26	1
22	ANDHRA PRADESH	28	1
23	ANDHRA PRADESH	33	1
24	ANDHRA PRADESH	36	1
25	ANDHRA PRADESH	39	1
26	ANDHRA PRADESH	40	1
27	ANDHRA PRADESH	45	1
28	ANDHRA PRADESH	47	1
29	ANDHRA PRADESH	51	2
30	ANDHRA PRADESH	53	1
31	ANDHRA PRADESH	54	1
32	ANDHRA PRADESH	66	2
33	ANDHRA PRADESH	70	2
34	ANDHRA PRADESH	76	1
35	ANDHRA PRADESH	80	1
36	ANDHRA PRADESH	83	1
37	ANDHRA PRADESH	86	1
38	ARUNACHAL PRADESH	21	1
39	ARUNACHAL PRADESH	25	1
40	ARUNACHAL PRADESH	30	1
41	ARUNACHAL PRADESH	50	1
42	ARUNACHAL PRADESH	53	1
43	ARUNACHAL PRADESH	63	1
44	ARUNACHAL PRADESH	83	1
45	ARUNACHAL PRADESH	85	1
46	ARUNACHAL PRADESH	90	1
47	ASSAM	1	1
48	ASSAM	2	4
49	ASSAM	3	2
50	ASSAM	4	3
51	ASSAM	5	1
52	ASSAM	6	4
53	ASSAM	7	3
54	ASSAM	8	1
55	ASSAM	9	2
56	ASSAM	10	4
57	ASSAM	11	2
58	ASSAM	12	4
59	ASSAM	13	2
60	ASSAM	14	1
61	ASSAM	15	1
62	ASSAM	16	2
63	ASSAM	17	2
64	ASSAM	18	2
65	ASSAM	19	1
66	ASSAM	20	4
67	ASSAM	21	7
68	ASSAM	22	4
69	ASSAM	23	2
70	ASSAM	24	1
71	ASSAM	25	2
72	ASSAM	26	1
73	ASSAM	27	2
74	ASSAM	28	1
75	ASSAM	29	3
76	ASSAM	30	4
77	ASSAM	31	1
78	ASSAM	32	2
79	ASSAM	33	2
80	ASSAM	35	2
81	ASSAM	36	4
82	ASSAM	37	1
83	ASSAM	39	3
84	ASSAM	40	1
85	ASSAM	41	1
86	ASSAM	42	2
87	ASSAM	43	3
88	ASSAM	44	2
89	ASSAM	45	2
90	ASSAM	46	3
91	ASSAM	47	3
92	ASSAM	48	2
93	ASSAM	49	3
94	ASSAM	50	1
95	ASSAM	51	1
96	ASSAM	52	1
97	ASSAM	53	3
98	ASSAM	54	2
99	ASSAM	55	4
100	ASSAM	56	2
101	ASSAM	58	1
102	ASSAM	60	4
103	ASSAM	61	3
104	ASSAM	63	2
105	ASSAM	64	2
106	ASSAM	65	5
107	ASSAM	66	1
108	ASSAM	67	1
109	ASSAM	68	2
110	ASSAM	69	1
111	ASSAM	70	2
112	ASSAM	71	1
113	ASSAM	73	1
114	ASSAM	74	2
115	ASSAM	77	1
116	ASSAM	79	1
117	ASSAM	80	2
118	ASSAM	81	1
119	ASSAM	83	1
120	ASSAM	84	1
121	ASSAM	85	3
122	ASSAM	86	2
123	ASSAM	88	1
124	ASSAM	89	1
125	ASSAM	90	1
126	BIHAR	1	2
127	BIHAR	2	1
128	BIHAR	3	1
129	BIHAR	4	1
130	BIHAR	6	1
131	BIHAR	7	1
132	BIHAR	9	1
